"","long","lat","heuteVok","breitVok","wachsenVokStem","wachsenVokEnd","butter"
"381",7.66224,47.71456,"ü","ei","V-short","a/o","Butter"
"382",7.8735,47.71532,"ü","ei","V-short","a/o","Butter"
"383",9.06699,47.71535,"i/ie","oa","V-short","a/o","Butter"
"384",7.63561,47.71579,"ü","ei","V-short","a/o","Butter"
"385",7.16039,47.71674,"i/ie","ei","V-short","a/o","Anke(n)/Butter"
"386",7.09079,47.71688,"e","ei","V-short","a/o","Butter"
"387",7.83666,47.71725,"ü","ei","V-short","a/o","Butter"
"388",7.30295,47.71749,"e","ei","V-short","a/o","Butter"
"389",7.54942,47.71753,"i/ie","ei","V-short","a/o","Anke(n)/Butter"
"390",8.29113,47.71786,"ü","ei","V-short","a/o","Butter"
"391",7.90412,47.7181,"sonst",NA,"V-short","a/o","Butter"
"392",9.43103,47.7193,"e","oo","V-short","a/o","Butter"
"393",8.1855,47.71974,"ü","ei","V-short","a/o","Butter"
"394",8.31845,47.7201,"ü","ei","V-short","a/o","Butter"
"395",7.38892,47.72013,"e","ei","V-long","e","Butter"
"396",8.42708,47.72036,"sonst","ei","V-short","a/o","Butter"
"397",7.79638,47.72037,"ü","ei","V-short","a/o","Butter"
"398",9.38933,47.72088,"ei/ai","ei","V-long","a/o","Anke(n)/Butter"
"399",7.31747,47.72106,"e","ei","V-short","a/o","Butter"
"400",8.35956,47.7213,"ü","ei","V-short","a/o","Butter"
"401",8.16607,47.72173,"ü","ei","V-short","a/o","Butter"
"402",8.8965,47.72199,"ü","oa","k.A.","k.A.","k.A."
"403",8.75435,47.72246,"ü","oa","V-short","a/o","Butter"
"404",9.2334,47.72271,"ei/ai","oa","V-short","a/o","Butter"
"405",7.7724,47.72297,"ü","ei","V-short","a/o","Butter"
"406",7.58442,47.7231,"ü","ei","V-short","a/o","Butter"
"407",8.28505,47.72465,"ü","ei","V-short","a/o","Anke(n)/Butter"
"408",8.86677,47.72492,"ü","oa","V-short","a/o","Anke(n)"
"409",9.32247,47.72502,"ei/ai","ei","V-short","a/o","Butter"
"410",8.93316,47.7259,"ü","aa","V-long","e","Butter"
"411",7.22696,47.72682,"i/ie","ei","V-long","a/o","Butter"
"412",7.88363,47.72839,"ü","ei","V-short","a/o","Butter"
"413",8.10083,47.72846,"ü","ei","V-short","a/o","Butter"
"414",7.41666,47.72864,"i/ie","ei","V-short","a/o","Butter"
"415",7.14988,47.72886,"i/ie","ei","V-short","a/o","Butter"
"416",8.22606,47.72946,"ü","ei","V-short","a/o","Butter"
"417",7.52082,47.73028,"e","ei","V-short","a/o","Butter"
"418",9.29766,47.73029,"eu","oa","V-short","a/o","Butter"
"419",9.34868,47.73084,"ei/ai","oa","V-short","a/o","Anke(n)/Butter"
"420",7.55728,47.7319,"i/ie","ei","V-long","e","Butter"
"421",7.91432,47.73207,"ü","ei","V-short","a/o","Butter"
"422",8.83715,47.73231,"ü","oa","V-short","a/o","Butter"
"423",7.70866,47.73257,"ü","ei","V-short","a/o","Butter"
"424",7.70866,47.73257,"ü","ei","V-short","a/o","Butter"
"425",7.70866,47.73257,"ü","ei","V-short","a/o","Butter"
"426",7.70866,47.73257,"ü","ei","V-short","a/o","Butter"
"427",8.07077,47.73259,"ü","ei","V-long","e","Anke(n)"
"428",7.05724,47.73372,"e","ei","V-short","a/o","Butter"
"429",8.16491,47.73427,"ü","ei","V-short","a/o","Butter"
"430",7.86972,47.73452,"ü","ei","V-short","a/o","Butter"
"431",8.12409,47.73478,"ü","ei","V-short","a/o","Butter"
"432",9.117,47.73485,"i/ie","oa","V-short","a/o","Butter"
