"","utm_x","utm_y","l).Hunde","class","n_places","new"
"403",381275.227656963,5377347.34689971,"Hund","nd",1,"nd"
"404",381288.784716232,5392082.37986078,"Hund","nd",1,"nd"
"405",381381.964009856,5319869.71118953,"Hund, Hend","nd",1,"nd"
"406",381410.245452563,5419550.90305374,"Hünd","nd",1,"nd"
"407",381506.236920954,5358335.38412454,"Hünd', Hund', Hend","nd, nd",2,"nd"
"409",381562.063439891,5280538.64028137,"Hüng","ng",1,"ng"
"410",381676.225934818,5326901.94674695,"Hund","nd",1,"nd"
"411",381864.05720327,5322237.00013448,"Hend","nd",1,"nd"
"412",381875.256556871,5279392.66419799,"Hüng","ng",1,"ng"
"413",381931.270618944,5325032.03312157,"Hend","nd",1,"nd"
"414",381999.085343709,5275939.10218356,"Hung","ng",1,"ng"
"415",382048.497009974,5387746.17519194,"Hund","nd",1,"nd"
"416",382276.332338076,5378609.61286138,"Heend","nd",1,"nd"
"417",382621.287916881,5407114.64791169,"Hend","nd",1,"nd"
"418",382709.075027775,5393681.6472937,"Hund","nd",1,"nd"
"419",382753.786259492,5389154.80176322,"Hund","nd",1,"nd"
"420",382781.924888551,5349444.46194092,"Hend","nd",1,"nd"
"421",382794.793427085,5329756.55952371,"Hend","nd",1,"nd"
"422",382804.664274281,5355441.81561719,"Hund","nd",1,"nd"
"423",382811.525661695,5409110.11978753,"Hund","nd",1,"nd"
"424",382836.22392415,5360452.73893806,"Hend","nd",1,"nd"
"425",382896.984728696,5275214.99258408,"Hing","ng",1,"ng"
"426",382909.063636155,5356442.64111922,"Hund","nd",1,"nd"
"427",382974.193807774,5351936.80815235,"Hend","nd",1,"nd"
"428",383039.423939268,5258538.77413176,"Hing, Hung (Einzahl)","ng",1,"ng"
"429",383051.626497305,5370015.64688292,"Hend","nd",1,"nd"
"430",383062.82281487,5278643.78366902,"Heng","ng",1,"ng"
"431",383145.306641386,5269259.7129591,"Hung","ng",1,"ng"
"432",383176.427659944,5267618.10055478,"Heng, Hend","ng, nd",2,"nd, ng"
"434",383255.778238908,5271734.5593765,"Hung","ng",1,"ng"
"435",383273.994241188,5396767.96161211,"Hönd","nd",1,"nd"
"436",383294.564309107,5392022.54730075,"Höund, Hend","nd",1,"nd"
"437",383414.035305845,5403069.13991282,"Hund","nd",1,"nd"
